content,label
疾控专家建议：勤洗手，尽量避免用手触摸眼睛、鼻或口；均衡饮食，适量运动，充足休息,2
武汉发现不明原因肺炎，当地一海鲜市场消毒武汉发现不明原因肺炎，当地一海鲜市场消毒,21
在经历了4天前的地震，今天又传单位300米外出现疑似非典型肺炎。狗命要紧，回家避难。,27
2019年的武汉，不大太平，我这又经历地震，又是出现不明原因肺炎，太难了。在武汉上学太难了,10
听说武汉不明肺炎被生病，我开始慌了,55
武汉非典型肺炎，武汉非典性肺炎？,47
武汉的朋友要小心了，勤洗手，多通风，人多的地方戴口罩,8
这年末了武汉咋那么多灾多难呢。先是地震，现在又有肺炎，好好过个年不好吗,52
武汉不明原因肺炎已做好生病，检测结果将第一时间对外公布,21
2019最后一天，武汉不明肺炎，小何还碰巧感冒了，虽然觉得不太可能，但还是有点慌，我真的真的真的讨厌2019,52
才从地震缓过来，又不明原因肺炎了，今年怎么回事啊，快过年了，要平平安安啊,18
天佑中华。真的不是我乌鸦嘴啊，我以前夜班很平安的，,18
卧槽？都这么迅速的么？,53
我只是来出差几天的就碰到地震和这个不明原因的肺炎,57
相信医学的力量，等待官方通报。,61
还打算今晚去江滩跨年的，看来不得不取消了，老老实实宅家里玩手机吧,12
希望如此，不然每次去医院产检都忧心忡忡的，口罩手套戴起来,51
武汉今年太惨了吧，又是地震又是肺炎我怕了我只想回家,27
出现在海鲜市场？是否又与美日阴谋有关？,47
一天天的又地震又停水又不明原因肺炎，能取消考试吗我要回家,27
武汉现不明原因肺炎，官方确认属实：已经做好生病,70
我每天接触好多人的，希望不是传染病,51
春运在即，一定要控制疫情,18
看来哪都不能去了，愿都平安。,51
唉，转个大佬的求平安，不论如何口罩先带上吧,5
自己和宿主一起死掉，怎么那么像神盾局特工,30
最近武汉空气质量太差，关键是气候也跟抽羊癫疯一样，愿安好,51
武汉不明原因肺炎，吓得我抓紧从实验室拿了几个口罩,65
跨年可别出去浪了，家里宅着吧,1
还好我在武汉的时候大部分时间都戴着，虽然就去了一天，但是也怕怕的,49
过几天就要回武汉了。我好害怕,49
早就约好小伙伴一起去江汉关跨年。怎么都在最后一天就闹这样？不,52
这个期末好难，回家好难,6
来武汉的第四个月，感受到了地震的震感，现在又有不明原因的肺炎，考试都结束了还不能回家，我太难了,18
武汉发现不明原因肺炎，卧槽我有点怕，我想回家,27
周围感冒的肺炎的我傻傻分不清楚了，完全不敢把口罩取下来！,48
害，还是上热搜了，老板会不会放我们提前回家,27
武汉又是流感又是肺炎的，黄石离武汉也是有点近，最近感冒一直没好，而且现在还有点咳，有点害怕,49
武汉发现不明原因肺炎，现在上班都是心惊胆战的,49
武汉发现不明原因肺炎，害怕，想回家,27
武汉发现不明原因肺炎，我哭了，好不容易计划一次去跨年,52
在武汉的兄弟姐妹们出门一定要戴口罩啊！,8
吓得我赶紧打开淘宝买了口罩还留言卖家快点发货，本来还说去江汉路跨年的，小命要紧,52
感觉自己不太舒服好像发热了虽然我不在武汉,68
已经感冒好几天的我瑟瑟发抖,40
就在昨天科室有一个梅毒病人血弄我手上了刚开始没在意后来才意识到她有梅毒，一下午不停的洗手,48
反正希望不是非典这种大的疫情，现在只想着：老师，可以不考试回家吗？,27
好可怕，不知道什么情况，最后一天，希望平安,51
你别吓我！我昨天才莫名其妙的被传染生病，今早起来喉咙疼，刚刚还感觉咳出血了，卧槽,49
武汉这段时间真是多灾多难，希望大家都平安,51
这可怎么是好，我在武汉,48
希望能快点查清事实，及时给民众一个交代,51
赶紧确定不明肺炎是什么吧！人心恍恍，主要家还离事故地点这么近！,48
我感冒还没好，怎么办啊,48
武汉的第一周，地震，武汉的第二周，肺炎流感，这个地方可能不太适合我，我太想回长沙了,27
武汉发现不明原因肺炎，朋友们，加油，顶起来啊，我不想参加公司的健步走啊！,31
今年武汉是怎么了，一会地震一会肺炎的，我刚扁桃体发炎完，打了四针头孢，护我周全,48
真的很讨厌舆情管控这个词。麻烦以后别用这个词了,23
啊啊啊，我害怕，我想出去跨年啊啊啊啊啊,49
今年再次和江汉关跨年安排说再见，一会进市区，口罩安排上,28
在热搜上看到，真的是更感觉心慌慌了,11
跨年都不能出去玩了，难过,19
想当年广州非典型肺炎那会，出门都带口罩，开始人人都很怕，怕也是没办法的，注意个人卫生，少去人多的地方,8
武汉不明原因肺炎已做好生病，检测结果将第一时间对外公布。,21
我的小姐妹都在那边上学呢，千万不要是什么不好的，肺炎而且武汉要是出事了我这里也跑不了,48
不敢去人多的地方了，去了怕自己就突变了,4
祈福！武汉平安！武汉那么多大学生，年关将近，希望不要影响他们回家过年,18
武汉发现不明原因肺炎，我到哪就哪里遭难，到孝感就发地震，到武汉第一天就不明肺炎,35
听说是在华南最先发现的，跨年还是跨命？汉口党表示很焦虑，等一个最终结果。,62
希望在武汉的亲们平安,51
湖北最近是怎么了，元旦都不敢出门了,47
武汉这事吧，大家放心就好了，做好个人卫生，不要去人多的地方。,50
坐标武汉，表示一切正常，不要恐慌哈，出门戴好口罩保护好自己，要相信武汉的医疗技术,8
感谢父母，没有你们就没有我，是你们给予了我生命,9
冬季是流感季节爆发的季节，多吃水果多运动，也许是我正值壮年吧，三四年没感冒了,8
这周末还得去高新区考试，9号要到武汉站坐高铁回家。武汉的大学生好怕怕，我要回家！,49
牵手时，即使男人的手有多汗，也别放开。,50
约好的跨年也不敢出去了，先做好预防措施,3
为专家组，为一线医护人员点赞，他们是真正的白衣天使，,34
我想回家我想回家我想回家呜呜呜呜呜,27
已取消所有跨年活动，还让即将来武汉跨年的朋友硬是取消了行程，后面就呆家里吧,1
最开始是在华南海鲜市场出现的吧？离得好近，邻近过年竟然出现这种事情，令人担忧，。,48
武汉最近好多事情啊，家里的孩子怎么样了,48
太恐慌了吧，我不想去上班了,49
2019年的最后一天了，现在最希望剩下的所有考试推迟到下个学期开学考然后赶紧，让大家回家,51
口罩即将断货，我口罩还没有买呢,28
这两天病的很难受！感冒头疼打喷嚏，而且一点没有减轻的意思，哎，好多学生也都发烧了，赶紧好吧,51
多灾多难的2019，最后几天了，又是地震，又是病毒的，我想回家。,27
不信谣不传谣，未知≠非典型，好端端的还要跨年不会有事的,8
最近怎么了，先是邻市的地震，然后又是不明原因肺炎，愿新的一年一切不好都消失！,51
明天要去武汉出差，看了下，建议少出门戴口罩板蓝根，,2
还能好好去看跨年演唱会吗，啊啊啊啊啊,47
不明肺炎是真的，但也不必慌张，更不要造谣传谣。,50
武汉又上热搜了，上个星期地震，这个星期非典,52
我还是那个考完试，要去武汉旅游的人，,44
希望武汉人民好好的，别出什么事，以后我还会来武汉玩耍的，平安,51
卧槽，后天就回武汉了，有点方啊,48
先地震后肺炎，在武汉读大学好难啊,6
一天天地，刷个微博都给我整得担惊受怕的,49
没有疫苗预防，只能靠生病，所以相信疾控医护人员会保护我们的,61
千万不要有事情啊，我家还有个小祖宗呢，吓得我立马取消了跨年出去浪的决定，老老实实在家看看跨年晚会算了。,49
还好单身狗没什么活动，下班就回家呆着,1
希望只是普通病毒吧,51
昨天收到消息的我火速下单口罩，看你们这些人还砍不砍我们医务工作者,53
昨天还在被舆论追杀的小医生，今天起来还是要冒着职业暴露的风险去上班,43
我的内心受到一万点伤害,35
武汉爆发肺炎，能为了广大歌迷安排退票不,41
希望不是非典型肺炎或者什么其他变异的病毒啊，希望只是普通的感冒，希望平平安安,51
好危险，最近还是不要出门了,3
后天就打算去武汉眉毛补色了，票都买好了，四七可以改下时间吗？这种突发事件好害怕,49
吐了真是，要跨年，整了个非典。,52
家人经常从那里过，还蛮担心的，等下去买板蓝根，口罩，白醋和消毒液。,4
最后一天了，看来晚上还是待在家里最好,1
建议大家勤洗手，戴口罩，多喝热水，最近少去公共场所,2
大家该吃吃该喝喝该玩玩吧,8
我正坐在去汉口的城际上，早上阿港发消息让我带口罩，我正在宿舍匆匆忙忙吹头发，出门就忘记了,5
昨天刚抵达武汉，来看刚满月的外甥女，此时此刻，心里有点慌,49
希望快点好起来吧，俺过半个月还要回家过年呢,51
经历过非典的人还是会恐慌。娃们快放假了，乖乖在家呆着吧。平安健康！,1
昨晚看群里的消息，华南海鲜和后湖医院那么近，每天还要经过，有点怕怕！,49
19年的尾巴，却出现了肺炎，希望没事,51
天啊，前面地震，现在病毒，苍天啊，太心累了，莫名好害怕,49
在家待着吧，我害怕,1
跨年就在家里蹲了，希望问题不大，都健健康康的,51
过年回武汉得买个口罩了，希望能平安过一个年,51
本来已经计划好了，明天去江汉路玩，但现在，所以明天要去哪玩啊,52
在武汉的我瑟瑟发抖，感觉大学这几年啥都经历了，特别是2019年，又是震感又是不明肺炎,49
有非典，禽流感的先例，我国对病毒的解决能力早已手到擒来，相信国家，不慌,61
别人都把跨年计划取消了，我们还在讨论今晚做什么菜,54
取消了去江滩跨年的计划，老实呆在宿舍写作业，等待事实,1
2019最后一天希望大家都是虚惊一场,51
一路看着这个讨论从一个孩子成为爆榜第一，大家都要注意个人卫生，防寒保暖，不凑热闹，,2
今天晚上还要去巨幕看电影的我，瑟瑟发抖,49
本来都跟朋友约好去江滩的，现在不敢出门跨年了，我好惜命,3
我想回家，想回小岛，害怕，想明年开学再来考试,27
好好的准备出门看个电影跨个年，怎么又突然传出武汉有不明原因肺炎,52
今晚要带着口罩去和小齐嗨了，希望结果早出，破除恐慌,51
刚外卖买的医用口罩50个，江汉路和长江大桥跨年么得去了,28
快过年啦，愿是虚惊一场，大家都平安无事,51
路上都是的戴口罩的人,5
小伙伴们今天跨年还是别去人多的地方了，出门戴好口罩,2
今晚不出门了老老实实待家里看跨年,3
我明天就要去汉口火车站回家啊，这怎么避开聚集人群？,47
去南昌避难，但是，在这之前要去火车站,4
各位小伙伴谨慎出门，少去人员密集的地方，年关了都好好的,2
咱武汉人一边吃瓜一边看新闻，丝毫不慌,54
离自己好近，作为一名医护人员不该慌不该慌,50
2019年的最后一天都没什么好消息啊，上班的地方在那附近，想想有点可怕,49
希望尽快查明原因，过年回去不用担心,48
朋友圈的武汉小伙伴萌避免去人多的地方凹,2
我，还能好好的活到明年吗,30
还有一坨考试跟课设，我不想在武汉待了，我想回家，我真的想回家。,27
今晚晚刚好要和从武汉过来的朋友跨年？我害怕，,49
两天地震现在又来这个，2019能不能放过我们啊，这都最后一天了，希望官方早点明确，让大家安心,51
活着太难了，不是地震就是这，千万不要是非典型肺炎啊，求求了,4
非典型肺炎的心理阴影还在，希望一切平安,51
拜托不要出事了，再出事爸爸妈妈爷爷奶奶都不让我出门了,18
希望湖北来年不会再有任何不好的事情发生,51
武汉的医疗水平在国内属于领先水平，相信能处理好，新年愿望希望不是非典，大家都平平安安的,51
非常时期，直接厚葬友军，反对@江宁婆婆，的说法。,46
然后本周就肺炎，又去过汉口火车站，小宝宝本来就抵抗力差，好担心啊,4
现在的病毒防御体系早已不是十几年前的样子了。要相信现在的医疗技术！,8
其实我觉得不要那么慌，真的要重视但是不要恐慌,8
2019最后一天，希望一切虚惊一场，2019年真的多磨多难了,51
还准备去江滩跨年！不去了不去了，买堆零食回家看电视跨年吧！,27
我先把口罩买好，以备后面资源紧缺。,28
住在离生病区只有四公里的我瑟瑟发抖，,49
想回家还得去汉口火车站坐动车，快点考完吧我要回家,27
2019终于还是在最后几天对我下手了,35
我不会被传染了吧，也许感觉很沙雕，但是我还是很慌,55
来武汉出差一个月，又是地震又是肺炎，太难顶了啊,6
出去买口罩阿姨第一句话就是口罩都快卖空了,28
期待了好久的跨年和假期安排因为武汉出现不明肺炎患者泡汤了,52
2019年末：地震，不明原因肺炎，我大武汉要平安呀,51
现在开始想起医生了，当初干嘛不多砍一些？真的讽刺。,54
多难兴邦，中国这艘巨轮始终破浪前进！中国力量让人感动,32
大家做好标准预防：尽量避免出入人群密集场所，回家勤洗手使用医学消毒洗手液。,22
我枯了，怎么说得让我顺利度过期末考试吧,51
待会回家好好呆着，哪都不去，可是回家还得坐公交,27
在汉大学生内心慌的一匹，但我相信医护人员，一定可以得到控制的,61
不能害怕，我不怕我不紧张，加油,31
2019不能安安稳稳跨个年嘛，内心默默认为我大武汉还是挺安全的啊啊啊,61
少去人员流动多的地方，希望新闻及时跟进，好让普罗大众做好防范准备,51
唉，停水停电停网，打球受伤地震肺炎的，2019的末尾还能再差点吗？,52
这几天就呆在学校了，等着考完试就回家，有点想家，,27
就在我家附近，我哭了，我不敢回家了,72
嗯，著名衰年2019直到最后一天也没有放弃咱们呢,35
做好防护措施，以防万一，勤洗手，勤通风，出门带口罩，不要去人流量密集的地方,21
持续高烧不退的我在被窝瑟瑟发抖,40
2019年最后一天，绞尽脑汁给主编回了封邮件，心累，一上午就这么过去了。,19
大家出门戴口罩，勤洗手，等一个最终结果,22
走在路上看到好多人生病，但是最近流感也比较严重，所以不能确定，只希望真的没啥事,51
人在武汉，刚出校门，慌的一匹，吃完火锅赶紧滚回宿舍,55
前几天地震，赶到跨年了，武汉又出现了不明肺炎，现在的我，只想回家过年，快点放假吧,27
今晚还要演跨年演出。我慌了，什么情况？我。我开始生病了，我是不是快死了？,49
本来想凑个热闹，算了，我是真的怕死,63
希望医护人员在治病救人的同时，也能保护好自己,51
2020果然名不虚传，来势汹汹,48
最近又是地震又是肺炎的，本命年快结束了都不消停,19
病毒侵袭多注意，尽量选择空气流通的环境哟！,2
在武汉，还准备去江汉路染头发的，年后吧，现在不敢出门了,3
都老老实实在家待着，不要往人堆里凑，年终岁尾，安全第一。,1
公司开始发口罩了，网传沸沸扬扬的，这几天不出门了，,3
2020年的第一次出差就这么悬的吗,52
今年真的太难了，甚至是是最后一天都不放过，大家要保重身体，要注意安全，出门记得戴口罩,22
2020年愿望，我可以从武汉平平安安回来。,24
勤洗手，勤通风，勤戴口罩，少去人群密集的地方。,8
是要口罩买起来的节奏，,28
最近班上好几个感冒的学生都被确诊为甲流，学校还有的班级流感人数过多封班了。,21
求平安，跨个好年,18
大家都要注意安全，在一线的医护人员科研人员一定一定好好照顾自己，加油,31
默默的去买板蓝根。还好我没有去江边看烟花的跨年计划,56
看到消息说武汉正在查不明肺炎，然后我今天突然又开始生病了,48
杀医一事就此过啦，嚷嚷还是杀得少的人呢？,23
武汉没有那么脆弱，何况都没有官宣，那么多人就想到了死。哎，现在的人太喜欢刷存在感了,46
我已经懒到戴口罩出门防晒知擦额头的地步了,44
最讨厌当着孩子面抽烟的人，及其的不要脸，估计这些人还理所应当和不以为然呢,46
今天有理由不用出门跨年了，在家洗了守着看电视吧。,3
病毒不可怕啊，不要搞得人心惶惶，最重要的是要学会保护自己，天冷记得保暖,50
慌得一批，元旦几天就在宿舍躺死吧。,48
在武汉当地的我该怎么办。,10
2019的最后一天都要压榨我，快滚吧，2019！,23
很早就和朋友约好出去跨年的，结果武汉肺炎都上热搜了，让我感觉大事不妙，还是老实的在家打游戏吧,1
关注咱们大武汉的一切，希望只是虚惊一场，太冷了大家注意保暖，勤洗手，出门记得戴口罩！,51
前些日子的杀医事件与近期抗特殊肺炎事件相隔不到一周，是不是有些讽刺那些自私，无良知的世人,46
寒假还要去武汉呢！吓得我赶紧停止减肥，免得免疫力下降扛不住,65
年底要回湖北了！但愿疫情尽快被控制住，希望大家都平安！,51
要不学校取消接下来的考试吧，我是真的怂了,49
可以猜到这一天将是很平淡日常的一天。,13
快过年了，看到这个新闻蛮揪心的！,60
但是最后一天里武汉发现不明肺炎了，我的很多朋友给我发了消息询问我的情况，真的非常感动。,32
19年最后一天也不省心，可怕，跨年它也不香了，想连夜回我山东阿,27
我决定先暂缓减肥，先多吃点养好膘提高抵抗力,77
怪不得今天医药股票大涨，尤其是禽流感有关的股票十多个已经涨停了，买点医药股过年！,75
坚决不能生病，出门一定要戴口罩！小崔要启动一级预警！,22
前一天还在讨论杀医，今天医务人员又冲在抗流感前线，打脸不打脸？,54
大家都戴好口罩，勤洗手。要相信专家组可以的。,2
人生是什么并不重要，重要的是我们对人生的态度,8
我要出门我要出门我要出门！,44
有了孩子真的胆子变得好小.！好害怕,49
看到这个新闻突然在想：王澎医生要是还在就好了,14
我应该早点看到这个消息，阻止老赵去华南买水果,52
老老实实呆在寝室跨年吧各位兄弟，小命要紧，我承让了,1
最近危险危险，跨年乖乖吃饭乖乖呆在家，,1
想问一下大家还出去跨年吗，本来还打算去欢乐谷看音乐会。,17
我儿子就在武汉，已经叮嘱他注意身体，注意防范了,22
感觉武汉最近比较危险呢，先去网购口罩比较靠谱,28
看到消息第一时间去宿舍旁边的超市买口罩，但是晚来了一步。,52
明天早上到武昌火车站，静静的等待下班就去买口罩,28
2019年那些四处谣言唯恐天下不乱的狗东西也真是辛苦了呢！想对你们道一声元旦的祝福:祝你早死,46
莫慌莫慌，有么事好慌的，出门先戴好口罩再说,2
真是越传越邪乎，突然想到那个自称来自二零六零年的未来人的预言。,53
武汉的朋友们出行带好口罩，肥皂洗手，不必过分惊慌，相信市政府有能力控制疫情！,22
作为医生，大家宁愿在这些战场上战死，也不愿被这些无知的人砍死！,46
看到现在也没搞懂严重不严重，不过相信现在的医疗水平。,61
突然害怕，近一个月感冒生病的好多，交叉感染严重得飞起,49
小伙伴们出门戴口罩，远离人群，不要吃外卖，不要乱买不明摊位东西吃，最好吃素，,8
卧槽，昨天晚上开始一直咳，躺床上，听室友一讲这消息，吓的我立马坐了起来,65
冬季是流感的高发期，尽量避免到人多的地方去，减少相互感染的可能性，如果必要，出门最好带上口罩。,2
我去，快过年了来这么一遭！但愿不是非典型肺炎，想起03年那次还心有余悸！,48
请非医的各位试想一下，逼走大多数的医生，疫情真正发生的时候，又有谁可以来做大家的白衣天使,50
海王生物每到爆发流感呀，不明原因疫情的时候就涨停，都记不清我上回卖它靠的是什么疫情了,54
相信有啥用，最开始相信政府，相信国家的那波，也没看见誰为说过的谎话担责。,46
谣言是可怕，但因为武断的认定为谣言而放松警惕、延误时机，更可怕。,46
武汉的不明肺炎是是啥症状啊！这两天生病的我发慌,55
不过像我这种加班狗应该也没时间出去耍,54
只要我不出门，病毒就找不到我,3
看完不经感叹，研究人员太伟大了！,14
有那么一瞬间为这未知的病感到恐慌,7
本来打算今天出门做头发晚上出去玩，也给我吓得决定在家里呆一天了,1
卫健委：武汉现不明原因肺炎，正做病毒检测实验,70
人们太警觉了，口罩都卖光了，小孩子的都买不到,28
不能断定是，也就是不能说不是。看了非典的纪录片，我想说，还是小心点好，别去人多的地方。,50
希望不过是虚惊一场，相信现在的医疗和科研水平，相信每一位医护人员,61
相信医生专家们，在寝室心慌，考完试还要回汉口。,11
怕了，已经持续性生病一星期了，好难受，,6
怕死的我开始慌张,55
还是挺可怕的，今年流感特严重，板蓝根喝起来,49
害，还是不要跨年了安安心心待在屋里，早睡早起,52
这两天刚好感冒流鼻涕，好害怕,49
先把心态放好吧，2019身体和心理最难受的一天,6
今早一起来嗓子疼，突然内心有点慌,11
有点恐慌啊，将近年关，又是寒潮，大家一定要保重身体啊,49
2019年的最后一天，武汉还发生了不明原因的肺炎，一下失望了许多,52
马上2020年了，希望都能够安稳的迎接新年，平平安安,51
我刚好感冒，呜呜呜，害怕，不敢出门了,49
我刚好喉咙发炎了很痛我有点害怕,49
以前的非典是因为吃果子狸，前阵子的鼠疫又是食用土拨鼠，都长脑子吗，监管部门瞎了吗,46
现在医疗系统这么成熟，而且结果还没出来，有些人真的没必要搞得那么慌张,46
本想去药店买个口罩发现口罩板蓝根都被买空了,52
武汉的不明原因肺炎，打响了医药概念股继续走强的枪！后续的效果应该不会只有一两天,13
最近一直喉咙痒痒的，有点疼还生病个不停，怕怕啊,49
只要不是高致命、高传染率，一般情况下做好个人防护即可，不便过于紧张,50
大家注意安全昂，武汉离长沙也不远，但是武汉最近是咋了，昨天还好好的，今天病毒？,0
武汉市卫健委：未发现明显人传人现象，初步分析认为武汉肺炎病例系病毒性肺炎,70
显微镜下观察白细胞追杀病毒，真的很敬业,34
跨年趴体，朋友聚会啥的我都不想参加了，我就想一个人默默在家看电视吃零食,1
我今晚还得去医院上夜班，年底啦，希望大家都平安,51
武汉的孩子们跨年最好不要出门了，说是有不明肺炎，宁可信其有，不可信其无,50
希望我的生病快快好，我不想死,51
欧呦，这个时候医护人员就不是服务人员了？就要往前冲了？,80
武汉的孩子在不明肺炎没查清之前尽量不要去公共场合哦，啥都不怕，就怕不明。,22
什么鬼，怎么又是地震又是这个，武汉今年找谁惹谁了，,15
，所以今年跨年老老实实学校蹲着，完美避免没人约的尴尬，,1
都这样了，还有人不信邪非要出去跨年，被感染了也是活该,46
刚从武汉飞到丽江，我这是什么运气,14
低烧不退的我怕了,49
十号那天要去地铁站，坐地铁去天河机场。害怕，买个口罩安慰一下自己,28
可能有些太小的小朋友们没经历过，所以不知道非典型肺炎到底有多可怕。,13
所以说，当年非典，中国到底死了多少人？,53
2019年发生这么多大事呢？最后一天也不甘寂寞啊，不造谣不传谣，等官方消息。,8
前一天还在讨论杀医，今天医务人员又冲在抗流感前线，打脸不打脸,46
都说没有消息就是最好的消息了，大家勤洗手勤通风，少出门戴口罩。,2
武汉流感了我好慌啊，我慌得就像是丧尸病毒爆发了那样,55
希望早日找到病因，武汉的朋友们出门做好防护措施，愿一切安好！,51
2019最后一天，武汉因为肺炎上了热搜榜首。,45
，昨晚收拾东西发现一袋没有用过的口罩，还想着这个口罩买来都没有用，今天就，,14
被伤了心的医学人员又要站在第一线了,14
有些人，有些单位，有些机构，怎么就不能要点脸。,46
一到了疾病危险到来就都知道找医生了，全国人民开始为不明肺炎病毒恐慌了？这时候知道要保护医生了？,80
医生被砍被杀的时候不被关注，人心是何等的凉薄？,80
只有在灾难面前，才能意识到自己的渺小。,14
最后一个月也太多灾多难了吧，武汉平安,19
2019最后一天，诶，这两天宅家里吧，,1
希望专家组能搞快点，这种未知个猜疑的感觉太难受了。,51
今天跨年啊！外面肯定人多，要不要出门啊？,0
一旦确诊肺炎，应及时休息就医，对症治疗。,50
医生护士们，那么辛苦那么努力保护着我们大家，我们对医生和护士一点理解和保护好吗？,8
请相信现代医学的力量，俺们的公共卫生事业搞的还是不错的,61
刚上大巴就爆出武汉肺炎，心方方,55
稳住！等专家会诊结果，一定咱们可以克服的！,61
武汉场怎么这么难，先是内场调座位往后排了，又是病毒性肝炎席卷,52
武汉在校大学生数量全球第一，建议高校立即放假吧,2
冲在前线的依然是每一个医务工作者，他们也是距离危险源最近的一类人，真是擦干悲伤的眼泪继续往前冲啊,32
最近几天的热搜真是让人的心情起起伏伏。杨文医生的悲剧让我们愤怒，这个社会到底怎么了,53
，感冒刚好也没多久，以毒攻毒？吓得我赶紧多买点口罩回去，还好在武汉站,14
莫去武汉华南海鲜城，少吃海鲜？,0
希望尽快找出原因，对症下药，也希望不要扩散,51
看到非典型肺炎一下子就想起小学的时候，每个人到学校都要先测量体温，大街上的人都带着口罩，紧张的很,79
发烧了两天的我看见武汉发现不明肺炎现在瑟瑟发抖不敢出门,48
假期临近，大家尽量少去人流密集的地方哦,22
不慌不慌，买个口罩压压惊,28
今年第二次放航空公司鸽子，还是不要去添乱了,10
大家出门记得戴口罩，勤洗手，通风，防止感冒，不要去人流聚集的地方。有生病发热及时去医院诊断。,22
菜市场流出来的，应该是禽类或者野生动物吧,13
看了一中午热搜，武汉不明原因肺炎，陷入沉思，今晚还能不能出去跨年了啊，我他妈怂了,49
